timestamp,pow,traw,tmu,cd,cv,ci,cstatus,ctemp
1395,156,103,33761,9140,1004,2769,0,81625
1398,162,103,33773,9156,1004,2867,0,82125
1400,154,103,33773,9140,1004,2714,0,81125
1402,152,103,33782,9156,1003,2750,0,81625
1404,158,103,33787,9140,1004,2847,0,81125
1407,157,103,33782,9156,1006,2792,0,82125
1409,158,103,33789,9140,1004,2769,0,82125
1411,159,103,33774,9140,1003,2863,0,80625
1413,158,103,33785,9156,1004,2859,0,82125
1416,159,103,33779,9140,1004,2914,0,81625
1418,158,103,33779,9140,1004,2816,0,81625
1420,159,103,33782,9156,1004,2812,0,82125
1422,158,104,33785,9156,1003,2816,0,81625
